congress,number,title,format,url,filename,status
112,42,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Twelfth Congress, or until their successors are chosen.",xml,https://www.congress.gov/112/bills/sres42/BILLS-112sres42ats.xml,112_sres42.xml,exists
112,43,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Twelfth Congress, or until their successors are chosen.",xml,https://www.congress.gov/112/bills/sres43/BILLS-112sres43ats.xml,112_sres43.xml,exists
112,179,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Twelfth Congress, or until their successors are chosen.",xml,https://www.congress.gov/112/bills/sres179/BILLS-112sres179ats.xml,112_sres179.xml,exists
113,17,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Thirteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/113/bills/sres17/BILLS-113sres17ats.xml,113_sres17.xml,exists
113,18,A resolution making minority party appointments for the 113th Congress.,xml,https://www.congress.gov/113/bills/sres18/BILLS-113sres18ats.xml,113_sres18.xml,exists
113,29,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Thirteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/113/bills/sres29/BILLS-113sres29ats.xml,113_sres29.xml,exists
113,179,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Thirteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/113/bills/sres179/BILLS-113sres179ats.xml,113_sres179.xml,exists
113,180,A resolution making minority party appointments for the 113th Congress.,xml,https://www.congress.gov/113/bills/sres180/BILLS-113sres180ats.xml,113_sres180.xml,exists
113,196,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Thirteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/113/bills/sres196/BILLS-113sres196ats.xml,113_sres196.xml,exists
113,283,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Thirteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/113/bills/sres283/BILLS-113sres283ats.xml,113_sres283.xml,exists
113,359,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Thirteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/113/bills/sres359/BILLS-113sres359ats.xml,113_sres359.xml,exists
114,18,A resolution making majority party appointments for the 114th Congress.,xml,https://www.congress.gov/114/bills/sres18/BILLS-114sres18is.xml,114_sres18.xml,exists
114,21,A resolution making majority party appointments for the 114th Congress.,xml,https://www.congress.gov/114/bills/sres21/BILLS-114sres21ats.xml,114_sres21.xml,exists
114,22,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Fourteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/114/bills/sres22/BILLS-114sres22ats.xml,114_sres22.xml,exists
114,23,A resolution making majority party appointments for the 114th Congress.,xml,https://www.congress.gov/114/bills/sres23/BILLS-114sres23ats.xml,114_sres23.xml,exists
114,135,A resolution making minority party appointments for the 114th Congress.,xml,https://www.congress.gov/114/bills/sres135/BILLS-114sres135ats.xml,114_sres135.xml,exists
115,4,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Fifteenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/115/bills/sres4/BILLS-115sres4is.xml,115_sres4.xml,exists
