congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,senator_class,party,party_designation,committee_name,committee_code,resolution_rank,roster_snapshot_rank,position,resolution,resolution_date
112,2011-02-03,False,2013-01-02,,G000555,Kirsten E. Gillibrand,NY,I,D,majority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,11,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,G000555,Kirsten E. Gillibrand,NY,I,D,majority,Committee on Armed Services,SSAS00,13,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,G000555,Kirsten E. Gillibrand,NY,I,D,majority,Committee on Environment and Public Works,SSEV00,10,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H000206,Tom Harkin,IA,II,D,majority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H000206,Tom Harkin,IA,II,D,majority,Committee on Appropriations,SSAP00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H000206,Tom Harkin,IA,II,D,majority,"Committee on Health, Education, Labor, and Pensions",SSHR00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H000206,Tom Harkin,IA,II,D,majority,Committee on Small Business and Entrepreneurship,SSSB00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H000338,Orrin G. Hatch,UT,I,R,minority,Special Committee on Aging,SPAG00,3,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H000338,Orrin G. Hatch,UT,I,R,minority,Committee on Finance,SSFI00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H000338,Orrin G. Hatch,UT,I,R,minority,"Committee on Health, Education, Labor, and Pensions",SSHR00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H000338,Orrin G. Hatch,UT,I,R,minority,Committee on the Judiciary,SSJU00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001016,Kay Bailey Hutchison,TX,I,R,minority,Committee on Appropriations,SSAP00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001016,Kay Bailey Hutchison,TX,I,R,minority,"Committee on Commerce, Science, and Transportation",SSCM00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001016,Kay Bailey Hutchison,TX,I,R,minority,Committee on Rules and Administration,SSRA00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,H001049,Kay R. Hagan,NC,II,D,majority,Committee on Armed Services,SSAS00,9,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,H001049,Kay R. Hagan,NC,II,D,majority,"Committee on Banking, Housing, and Urban Affairs",SSBK00,12,,Member,S.Res.42,2011-02-03
