congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
117,2021-01-28,False,2023-01-03,,G000587,Sylvia R. Garcia,TX,29,D,Financial Services,BA00,27,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000587,Sylvia R. Garcia,TX,29,D,Judiciary,JU00,16,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000588,Anthony Gonzalez,OH,16,R,Financial Services,BA00,13,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000588,Anthony Gonzalez,OH,16,R,"Science, Space, and Technology",SY00,5,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000589,Lance Gooden,TX,5,R,Financial Services,BA00,21,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000590,Mark E. Green,TN,7,R,Armed Services,AS00,20,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000590,Mark E. Green,TN,7,R,Foreign Affairs,FA00,14,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000591,Michael Guest,MS,3,R,Homeland Security,HM00,2,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000591,Michael Guest,MS,3,R,Transportation and Infrastructure,PW00,24,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000591,Michael Guest,MS,3,R,Ethics,SO00,1,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000592,Jared F. Golden,ME,2,D,Armed Services,AS00,21,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000592,Jared F. Golden,ME,2,D,Small Business,SM00,1,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000593,Carlos A. Gimenez,FL,28,R,Homeland Security,HM00,8,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000593,Carlos A. Gimenez,FL,28,R,Transportation and Infrastructure,PW00,29,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000593,Carlos A. Gimenez,FL,28,R,"Science, Space, and Technology",SY00,15,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000594,Tony Gonzales,TX,23,R,Appropriations,AP00,25,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000595,Bob Good,VA,5,R,Budget,BU00,7,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000595,Bob Good,VA,5,R,Education and the Workforce,ED00,15,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000597,Andrew R. Garbarino,NY,2,R,Homeland Security,HM00,13,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000597,Andrew R. Garbarino,NY,2,R,Small Business,SM00,5,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001038,Brian Higgins,NY,26,D,Budget,BU00,2,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001038,Brian Higgins,NY,26,D,Ways and Means,WM00,9,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001047,James A. Himes,CT,4,D,Financial Services,BA00,8,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001052,Andy Harris,MD,1,R,Appropriations,AP00,13,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001053,Vicky Hartzler,MO,4,R,Agriculture,AG00,4,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001053,Vicky Hartzler,MO,4,R,Armed Services,AS00,5,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001058,Bill Huizenga,MI,4,R,Financial Services,BA00,4,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001066,Steven Horsford,NV,4,D,Budget,BU00,9,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001066,Steven Horsford,NV,4,D,Ways and Means,WM00,23,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001067,Richard Hudson,NC,9,R,Energy and Commerce,IF00,14,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001068,Jared Huffman,CA,2,D,Natural Resources,II00,4,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001068,Jared Huffman,CA,2,D,Transportation and Infrastructure,PW00,12,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001071,Jody B. Hice,GA,10,R,Oversight and Government Reform,GO00,4,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001071,Jody B. Hice,GA,10,R,Natural Resources,II00,8,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001072,J. French Hill,AR,2,R,Financial Services,BA00,9,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001074,Trey Hollingsworth,IN,9,R,Financial Services,BA00,17,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001077,Clay Higgins,LA,3,R,Oversight and Government Reform,GO00,8,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001077,Clay Higgins,LA,3,R,Homeland Security,HM00,1,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001081,Jahana Hayes,CT,5,D,Agriculture,AG00,6,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001081,Jahana Hayes,CT,5,D,Education and the Workforce,ED00,14,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,H001082,Kevin Hern,OK,1,R,Ways and Means,WM00,16,,H.Res.63,2021-01-28,,
