congress,date,resolution,committee,member,rank,role,rank_after
106,1999-01-06,H.Res.6,Commerce,Mr. Fossella,26,,
106,1999-01-06,H.Res.6,Commerce,Mr. Blunt,27,,
106,1999-01-06,H.Res.6,Commerce,Mr. Bryant,28,,
106,1999-01-06,H.Res.6,Commerce,Mr. Ehrlich,29,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Goodling,1,Chairman,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Petri,2,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mrs. Roukema,3,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Ballenger,4,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Barrett of Nebraska,5,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Boehner,6,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Hoekstra,7,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. McKeon,8,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Castle,9,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Sam Johnson of Texas,10,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Talent,11,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Greenwood,12,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Graham,13,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Souder,14,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. McIntosh,15,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Norwood,16,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Paul,17,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Schaffer,18,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Upton,19,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Deal of Georgia,20,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Hilleary,21,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Ehlers,22,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Salmon,23,,
106,1999-01-06,H.Res.6,Education and the Workforce,Mr. Tancredo,24,,
